area_id,area_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
127021512,Cabramatta West - Mount Pritchard,52.6,153.6,65.7,59.6,53.9,76.3,34.8,22.4,35.6,54,74.6,65.9,764
102011030,Calga - Kulnura,106.6,149.3,150.7,95,61.5,98.9,54.2,52.1,54.1,79.8,83.2,94.8,1097.4
124031457,Cambridge Park,92.3,122.1,92,46.7,35.9,48.8,30.6,29.8,32.4,56,79.8,63.1,721.6
123011433,Camden - Ellis Lane,79.6,101.3,94.9,64.1,52,65.3,35.8,41.1,38.4,61.5,74.3,57.1,789.8
123021437,Campbelltown - Woodbine,80.8,86.5,96.2,54.2,35.4,91.4,28,41,33,45.7,63.5,58.1,692
127021513,Canley Vale - Canley Heights,92,107,105.1,80.9,63.6,79.6,44.3,49.6,44.4,60.3,74.9,67.2,866.4
120031392,Canterbury (North) - Ashbury,78,115.2,95.1,94.8,73,107.2,57.3,61.8,48.1,63.2,73.8,64.1,972.5
119021363,Canterbury (South) - Campsie,78,115.2,95.1,94.8,73,107.2,57.3,61.8,48.1,63.2,73.8,64.1,972.5
128011602,Caringbah,96.9,108.1,122.6,111.9,106.7,116.7,81.7,74.6,59.9,70,78.3,78,1105.2
128011603,Caringbah South,96.9,108.1,122.6,111.9,106.7,116.7,81.7,74.6,59.9,70,78.3,78,1105.2
125021476,Carlingford,86.7,157.4,89,104.7,74.1,88.2,54,77.5,56,63,96.9,80,1064.9
115011553,Castle Hill - Central,95.7,144.8,108.2,104.7,63.1,89.2,39.1,66.9,55.1,70.3,88.6,81.9,987.5
115011554,Castle Hill - East,95.7,144.8,108.2,104.7,63.1,89.2,39.1,66.9,55.1,70.3,88.6,81.9,987.5
115011555,Castle Hill - North,95.7,144.8,108.2,104.7,63.1,89.2,39.1,66.9,55.1,70.3,88.6,81.9,987.5
115011556,Castle Hill - South,95.7,144.8,108.2,104.7,63.1,89.2,39.1,66.9,55.1,70.3,88.6,81.9,987.5
